recorder,humidity,temp,precip.day.of,tmin,precip.day.before,hours.sun,date,lunar.vals,month,day,time.bin.id,rain.bin,call.type,n.calls,log.recorder.offset
S11,96,32.8,25.9,25.4,4.8,7.4,20180301,Full,3,1,afternoon,1,long.argus,1,1.791759469
S11,96,32.8,25.9,25.4,4.8,7.4,20180301,Full,3,1,afternoon,1,short.argus,1,1.791759469
S16,96,32.8,25.9,25.4,4.8,7.4,20180301,Full,3,1,afternoon,1,long.argus,1,1.791759469
S17,96,32.8,25.9,25.4,4.8,7.4,20180301,Full,3,1,afternoon,1,long.argus,2,1.791759469
S17,96,32.8,25.9,25.4,4.8,7.4,20180301,Full,3,1,afternoon,1,short.argus,1,1.791759469
S18,96,32.8,25.9,25.4,4.8,7.4,20180301,Full,3,1,afternoon,1,short.argus,1,1.791759469
S11,96,32.8,25.9,25.4,4.8,7.4,20180301,Full,3,1,morning,1,long.argus,1,1.791759469
S11,96,32.8,25.9,25.4,4.8,7.4,20180301,Full,3,1,morning,1,short.argus,6,1.791759469
S14,96,32.8,25.9,25.4,4.8,7.4,20180301,Full,3,1,morning,1,long.argus,2,1.791759469
S14,96,32.8,25.9,25.4,4.8,7.4,20180301,Full,3,1,morning,1,short.argus,6,1.791759469
S17,96,32.8,25.9,25.4,4.8,7.4,20180301,Full,3,1,morning,1,long.argus,2,1.791759469
S17,96,32.8,25.9,25.4,4.8,7.4,20180301,Full,3,1,morning,1,short.argus,2,1.791759469
S18,96,32.8,25.9,25.4,4.8,7.4,20180301,Full,3,1,morning,1,long.argus,3,1.791759469
S18,96,32.8,25.9,25.4,4.8,7.4,20180301,Full,3,1,morning,1,short.argus,10,1.791759469
S20,96,32.8,25.9,25.4,4.8,7.4,20180301,Full,3,1,morning,1,short.argus,1,1.791759469
S11,95,32.3,9,22.2,0,0,20180401,Full,4,1,afternoon,1,long.argus,1,1.609437912
S11,95,32.3,9,22.2,0,0,20180401,Full,4,1,afternoon,1,short.argus,5,1.609437912
S13,95,32.3,9,22.2,0,0,20180401,Full,4,1,evening,1,long.argus,1,1.609437912
S16,95,32.3,9,22.2,0,0,20180401,Full,4,1,evening,1,long.argus,2,1.609437912
S18,95,32.3,9,22.2,0,0,20180401,Full,4,1,evening,1,long.argus,3,1.609437912
S11,95,32.3,9,22.2,0,0,20180401,Full,4,1,madrugada,0,long.argus,1,1.609437912
S11,95,32.3,9,22.2,0,0,20180401,Full,4,1,madrugada,0,short.argus,1,1.609437912
S18,95,32.3,9,22.2,0,0,20180401,Full,4,1,madrugada,0,long.argus,1,1.609437912
S18,95,32.3,9,22.2,0,0,20180401,Full,4,1,madrugada,0,short.argus,1,1.609437912
S11,95,32.3,9,22.2,0,0,20180401,Full,4,1,morning,1,long.argus,2,1.609437912
S11,95,32.3,9,22.2,0,0,20180401,Full,4,1,morning,1,short.argus,9,1.609437912
S12,95,32.3,9,22.2,0,0,20180401,Full,4,1,morning,1,long.argus,1,1.609437912
S18,95,32.3,9,22.2,0,0,20180401,Full,4,1,morning,1,long.argus,3,1.609437912
S18,95,32.3,9,22.2,0,0,20180401,Full,4,1,morning,1,short.argus,9,1.609437912
S10,97,30.4,5.4,23.8,1.6,3.3,20180701,Full,7,1,afternoon,1,long.argus,1,0
S10,97,30.4,5.4,23.8,1.6,3.3,20180701,Full,7,1,evening,1,long.argus,1,0
S10,97,30.4,5.4,23.8,1.6,3.3,20180701,Full,7,1,madrugada,0,long.argus,2,0
S10,97,30.4,5.4,23.8,1.6,3.3,20180701,Full,7,1,madrugada,0,short.argus,1,0
S10,97,30.4,5.4,23.8,1.6,3.3,20180701,Full,7,1,morning,1,long.argus,1,0
S17,98,31.1,23.5,23.8,25.9,4.4,20180302,Full,3,2,afternoon,1,long.argus,1,1.945910149
S14,98,31.1,23.5,23.8,25.9,4.4,20180302,Full,3,2,afternoon,1,short.argus,1,1.945910149
S18,98,31.1,23.5,23.8,25.9,4.4,20180302,Full,3,2,afternoon,1,short.argus,1,1.945910149
S16,98,31.1,23.5,23.8,25.9,4.4,20180302,Full,3,2,madrugada,1,long.argus,2,1.945910149
S11,98,31.1,23.5,23.8,25.9,4.4,20180302,Full,3,2,morning,0,long.argus,1,1.945910149
S11,98,31.1,23.5,23.8,25.9,4.4,20180302,Full,3,2,morning,0,short.argus,5,1.945910149
S13,98,31.1,23.5,23.8,25.9,4.4,20180302,Full,3,2,morning,0,long.argus,1,1.945910149
S14,98,31.1,23.5,23.8,25.9,4.4,20180302,Full,3,2,morning,0,long.argus,2,1.945910149
S14,98,31.1,23.5,23.8,25.9,4.4,20180302,Full,3,2,morning,0,short.argus,11,1.945910149
