"","date.time","recorder","call.type","n.detections","date","humidity","temp","precip.day.of","tmin","precip.day.before","hours.sun","time","lunar.vals","time.bin.id","index"
"2849","20180213_00","S14","none",0,"20180213",97,26.1,1,23.2,0,0,0,"New","madrugada","S14_20180213_madrugada"
"2850","20180213_02","S14","none",0,"20180213",97,26.1,1,23.2,0,0,2,"New","madrugada","S14_20180213_madrugada"
"2851","20180213_04","S14","none",0,"20180213",97,26.1,1,23.2,0,0,4,"New","madrugada","S14_20180213_madrugada"
"2852","20180213_06","S14","none",0,"20180213",97,26.1,1,23.2,0,0,6,"New","madrugada","S14_20180213_madrugada"
"3192","20180213_00","S15","none",0,"20180213",97,26.1,1,23.2,0,0,0,"New","madrugada","S15_20180213_madrugada"
"3193","20180213_02","S15","none",0,"20180213",97,26.1,1,23.2,0,0,2,"New","madrugada","S15_20180213_madrugada"
"3194","20180213_04","S15","none",0,"20180213",97,26.1,1,23.2,0,0,4,"New","madrugada","S15_20180213_madrugada"
"3195","20180213_06","S15","none",0,"20180213",97,26.1,1,23.2,0,0,6,"New","madrugada","S15_20180213_madrugada"
"4028","20180213_00","S16","none",0,"20180213",97,26.1,1,23.2,0,0,0,"New","madrugada","S16_20180213_madrugada"
"4029","20180213_02","S16","none",0,"20180213",97,26.1,1,23.2,0,0,2,"New","madrugada","S16_20180213_madrugada"
"4030","20180213_04","S16","none",0,"20180213",97,26.1,1,23.2,0,0,4,"New","madrugada","S16_20180213_madrugada"
"4031","20180213_06","S16","none",0,"20180213",97,26.1,1,23.2,0,0,6,"New","madrugada","S16_20180213_madrugada"
"4654","20180213_04","S17","long.argus",1,"20180213",97,26.1,1,23.2,0,0,4,"New","madrugada","S17_20180213_madrugada"
"4894","20180213_00","S17","none",0,"20180213",97,26.1,1,23.2,0,0,0,"New","madrugada","S17_20180213_madrugada"
"4895","20180213_02","S17","none",0,"20180213",97,26.1,1,23.2,0,0,2,"New","madrugada","S17_20180213_madrugada"
"4896","20180213_06","S17","none",0,"20180213",97,26.1,1,23.2,0,0,6,"New","madrugada","S17_20180213_madrugada"
"5985","20180213_00","S18","none",0,"20180213",97,26.1,1,23.2,0,0,0,"New","madrugada","S18_20180213_madrugada"
"5986","20180213_02","S18","none",0,"20180213",97,26.1,1,23.2,0,0,2,"New","madrugada","S18_20180213_madrugada"
"5987","20180213_04","S18","none",0,"20180213",97,26.1,1,23.2,0,0,4,"New","madrugada","S18_20180213_madrugada"
"5988","20180213_06","S18","none",0,"20180213",97,26.1,1,23.2,0,0,6,"New","madrugada","S18_20180213_madrugada"
"6602","20180213_00","S19","none",0,"20180213",97,26.1,1,23.2,0,0,0,"New","madrugada","S19_20180213_madrugada"
"6603","20180213_02","S19","none",0,"20180213",97,26.1,1,23.2,0,0,2,"New","madrugada","S19_20180213_madrugada"
"6604","20180213_04","S19","none",0,"20180213",97,26.1,1,23.2,0,0,4,"New","madrugada","S19_20180213_madrugada"
"6605","20180213_06","S19","none",0,"20180213",97,26.1,1,23.2,0,0,6,"New","madrugada","S19_20180213_madrugada"
"275","20180214_04","S11","short.argus",8,"20180214",96,31.9,3.5,22.2,1,3.1,4,"New","madrugada","S11_20180214_madrugada"
"640","20180214_00","S11","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,0,"New","madrugada","S11_20180214_madrugada"
"641","20180214_02","S11","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,2,"New","madrugada","S11_20180214_madrugada"
"642","20180214_06","S11","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,6,"New","madrugada","S11_20180214_madrugada"
"1248","20180214_04","S12","long.argus",1,"20180214",96,31.9,3.5,22.2,1,3.1,4,"New","madrugada","S12_20180214_madrugada"
"1341","20180214_00","S12","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,0,"New","madrugada","S12_20180214_madrugada"
"1342","20180214_02","S12","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,2,"New","madrugada","S12_20180214_madrugada"
"1343","20180214_06","S12","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,6,"New","madrugada","S12_20180214_madrugada"
"2095","20180214_04","S13","long.argus",2,"20180214",96,31.9,3.5,22.2,1,3.1,4,"New","madrugada","S13_20180214_madrugada"
"2143","20180214_00","S13","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,0,"New","madrugada","S13_20180214_madrugada"
"2144","20180214_02","S13","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,2,"New","madrugada","S13_20180214_madrugada"
"2145","20180214_06","S13","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,6,"New","madrugada","S13_20180214_madrugada"
"2707","20180214_04","S14","short.argus",2,"20180214",96,31.9,3.5,22.2,1,3.1,4,"New","madrugada","S14_20180214_madrugada"
"2861","20180214_00","S14","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,0,"New","madrugada","S14_20180214_madrugada"
"2862","20180214_02","S14","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,2,"New","madrugada","S14_20180214_madrugada"
"2863","20180214_06","S14","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,6,"New","madrugada","S14_20180214_madrugada"
"3204","20180214_00","S15","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,0,"New","madrugada","S15_20180214_madrugada"
"3205","20180214_02","S15","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,2,"New","madrugada","S15_20180214_madrugada"
"3206","20180214_04","S15","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,4,"New","madrugada","S15_20180214_madrugada"
"3207","20180214_06","S15","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,6,"New","madrugada","S15_20180214_madrugada"
"4040","20180214_00","S16","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,0,"New","madrugada","S16_20180214_madrugada"
"4041","20180214_02","S16","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,2,"New","madrugada","S16_20180214_madrugada"
"4042","20180214_04","S16","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,4,"New","madrugada","S16_20180214_madrugada"
"4043","20180214_06","S16","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,6,"New","madrugada","S16_20180214_madrugada"
"4658","20180214_04","S17","long.argus",2,"20180214",96,31.9,3.5,22.2,1,3.1,4,"New","madrugada","S17_20180214_madrugada"
"4659","20180214_05","S17","long.argus",1,"20180214",96,31.9,3.5,22.2,1,3.1,5,"New","madrugada","S17_20180214_madrugada"
"4904","20180214_00","S17","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,0,"New","madrugada","S17_20180214_madrugada"
"4905","20180214_02","S17","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,2,"New","madrugada","S17_20180214_madrugada"
"4906","20180214_06","S17","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,6,"New","madrugada","S17_20180214_madrugada"
"5708","20180214_04","S18","long.argus",4,"20180214",96,31.9,3.5,22.2,1,3.1,4,"New","madrugada","S18_20180214_madrugada"
"5995","20180214_00","S18","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,0,"New","madrugada","S18_20180214_madrugada"
"5996","20180214_02","S18","none",0,"20180214",96,31.9,3.5,22.2,1,3.1,2,"New","madrugada","S18_20180214_madrugada"
