"","recorder","date","time.bin.id","call.type","humidity","temp","lunar.vals","tmin","precip.day.of","precip.day.before","n","n.calls","rain.bin"
"1","S14",20180213,"madrugada","none",97,26.1,"New",23.2,1,0,0,0,0
"2","S14",20180213,"morning","none",97,26.1,"New",23.2,1,0,0,0,0
"3","S14",20180213,"afternoon","none",97,26.1,"New",23.2,1,0,0,0,0
"4","S14",20180213,"evening","none",97,26.1,"New",23.2,1,0,0,0,0
"5","S15",20180213,"madrugada","none",97,26.1,"New",23.2,1,0,0,0,0
"6","S15",20180213,"morning","none",97,26.1,"New",23.2,1,0,0,0,0
"7","S15",20180213,"afternoon","none",97,26.1,"New",23.2,1,0,0,0,0
"8","S15",20180213,"evening","none",97,26.1,"New",23.2,1,0,0,0,0
"9","S16",20180213,"madrugada","none",97,26.1,"New",23.2,1,0,0,0,0
"10","S16",20180213,"morning","none",97,26.1,"New",23.2,1,0,0,0,0
"11","S16",20180213,"afternoon","none",97,26.1,"New",23.2,1,0,0,0,0
"12","S16",20180213,"evening","none",97,26.1,"New",23.2,1,0,0,0,0
"13","S17",20180213,"madrugada","none",97,26.1,"New",23.2,1,0,0,0,0
"14","S17",20180213,"madrugada","long.argus",97,26.1,"New",23.2,1,0,1,1,0
"15","S17",20180213,"morning","none",97,26.1,"New",23.2,1,0,0,0,0
"16","S17",20180213,"morning","long.argus",97,26.1,"New",23.2,1,0,2,2,0
"17","S17",20180213,"afternoon","none",97,26.1,"New",23.2,1,0,0,0,0
"18","S17",20180213,"afternoon","long.argus",97,26.1,"New",23.2,1,0,1,1,0
"19","S17",20180213,"evening","none",97,26.1,"New",23.2,1,0,0,0,0
"20","S17",20180213,"evening","long.argus",97,26.1,"New",23.2,1,0,3,3,0
"21","S18",20180213,"madrugada","none",97,26.1,"New",23.2,1,0,0,0,0
"22","S18",20180213,"morning","none",97,26.1,"New",23.2,1,0,0,0,0
"23","S18",20180213,"morning","long.argus",97,26.1,"New",23.2,1,0,2,2,0
"24","S18",20180213,"morning","short.argus",97,26.1,"New",23.2,1,0,4,4,0
"25","S18",20180213,"afternoon","none",97,26.1,"New",23.2,1,0,0,0,0
"26","S18",20180213,"evening","none",97,26.1,"New",23.2,1,0,0,0,0
"27","S19",20180213,"madrugada","none",97,26.1,"New",23.2,1,0,0,0,0
"28","S19",20180213,"morning","none",97,26.1,"New",23.2,1,0,0,0,0
"29","S19",20180213,"afternoon","none",97,26.1,"New",23.2,1,0,0,0,0
"30","S19",20180213,"evening","none",97,26.1,"New",23.2,1,0,0,0,0
"31","S14",20180214,"madrugada","none",96,31.9,"New",22.2,3.5,1,0,0,0
"32","S14",20180214,"madrugada","short.argus",96,31.9,"New",22.2,3.5,1,2,2,0
"33","S15",20180214,"madrugada","none",96,31.9,"New",22.2,3.5,1,0,0,0
"34","S16",20180214,"madrugada","none",96,31.9,"New",22.2,3.5,1,0,0,0
"35","S17",20180214,"madrugada","none",96,31.9,"New",22.2,3.5,1,0,0,0
"36","S17",20180214,"madrugada","long.argus",96,31.9,"New",22.2,3.5,1,3,3,0
"37","S18",20180214,"madrugada","none",96,31.9,"New",22.2,3.5,1,0,0,0
"38","S18",20180214,"madrugada","long.argus",96,31.9,"New",22.2,3.5,1,4,4,0
"39","S19",20180214,"madrugada","none",96,31.9,"New",22.2,3.5,1,0,0,0
"40","S19",20180214,"madrugada","long.argus",96,31.9,"New",22.2,3.5,1,1,1,0
"41","S11",20180214,"madrugada","none",96,31.9,"New",22.2,3.5,1,0,0,0
"42","S11",20180214,"madrugada","short.argus",96,31.9,"New",22.2,3.5,1,8,8,0
"43","S12",20180214,"madrugada","none",96,31.9,"New",22.2,3.5,1,0,0,0
"44","S12",20180214,"madrugada","long.argus",96,31.9,"New",22.2,3.5,1,1,1,0
"45","S13",20180214,"madrugada","none",96,31.9,"New",22.2,3.5,1,0,0,0
"46","S13",20180214,"madrugada","long.argus",96,31.9,"New",22.2,3.5,1,2,2,0
"47","S20",20180214,"madrugada","none",96,31.9,"New",22.2,3.5,1,0,0,0
"48","S20",20180214,"madrugada","long.argus",96,31.9,"New",22.2,3.5,1,1,1,0
"49","S14",20180214,"morning","none",96,31.9,"New",22.2,3.5,1,0,0,0
"50","S14",20180214,"morning","short.argus",96,31.9,"New",22.2,3.5,1,1,1,0
"51","S15",20180214,"morning","none",96,31.9,"New",22.2,3.5,1,0,0,0
"52","S16",20180214,"morning","none",96,31.9,"New",22.2,3.5,1,0,0,0
"53","S17",20180214,"morning","none",96,31.9,"New",22.2,3.5,1,0,0,0
"54","S17",20180214,"morning","long.argus",96,31.9,"New",22.2,3.5,1,2,2,0
"55","S18",20180214,"morning","none",96,31.9,"New",22.2,3.5,1,0,0,0
"56","S18",20180214,"morning","long.argus",96,31.9,"New",22.2,3.5,1,4,4,0
"57","S18",20180214,"morning","short.argus",96,31.9,"New",22.2,3.5,1,10,10,0
"58","S19",20180214,"morning","none",96,31.9,"New",22.2,3.5,1,0,0,0
"59","S11",20180214,"morning","none",96,31.9,"New",22.2,3.5,1,0,0,0
"60","S11",20180214,"morning","long.argus",96,31.9,"New",22.2,3.5,1,3,3,0
"61","S11",20180214,"morning","short.argus",96,31.9,"New",22.2,3.5,1,8,8,0
"62","S12",20180214,"morning","none",96,31.9,"New",22.2,3.5,1,0,0,0
"63","S12",20180214,"morning","long.argus",96,31.9,"New",22.2,3.5,1,1,1,0
"64","S13",20180214,"morning","none",96,31.9,"New",22.2,3.5,1,0,0,0
"65","S20",20180214,"morning","none",96,31.9,"New",22.2,3.5,1,0,0,0
"66","S14",20180214,"afternoon","none",96,31.9,"New",22.2,3.5,1,0,0,1
"67","S14",20180214,"afternoon","long.argus",96,31.9,"New",22.2,3.5,1,1,1,1
"68","S14",20180214,"afternoon","short.argus",96,31.9,"New",22.2,3.5,1,1,1,1
"69","S15",20180214,"afternoon","none",96,31.9,"New",22.2,3.5,1,0,0,1
"70","S16",20180214,"afternoon","none",96,31.9,"New",22.2,3.5,1,0,0,1
"71","S17",20180214,"afternoon","none",96,31.9,"New",22.2,3.5,1,0,0,1
"72","S17",20180214,"afternoon","long.argus",96,31.9,"New",22.2,3.5,1,1,1,1
"73","S18",20180214,"afternoon","none",96,31.9,"New",22.2,3.5,1,0,0,1
"74","S19",20180214,"afternoon","none",96,31.9,"New",22.2,3.5,1,0,0,1
"75","S11",20180214,"afternoon","none",96,31.9,"New",22.2,3.5,1,0,0,1
"76","S12",20180214,"afternoon","none",96,31.9,"New",22.2,3.5,1,0,0,1
"77","S13",20180214,"afternoon","none",96,31.9,"New",22.2,3.5,1,0,0,1
"78","S20",20180214,"afternoon","none",96,31.9,"New",22.2,3.5,1,0,0,1
"79","S14",20180214,"evening","none",96,31.9,"New",22.2,3.5,1,0,0,0
"80","S14",20180214,"evening","short.argus",96,31.9,"New",22.2,3.5,1,2,2,0
"81","S15",20180214,"evening","none",96,31.9,"New",22.2,3.5,1,0,0,0
"82","S16",20180214,"evening","none",96,31.9,"New",22.2,3.5,1,0,0,0
"83","S16",20180214,"evening","long.argus",96,31.9,"New",22.2,3.5,1,1,1,0
"84","S16",20180214,"evening","short.argus",96,31.9,"New",22.2,3.5,1,1,1,0
"85","S17",20180214,"evening","none",96,31.9,"New",22.2,3.5,1,0,0,0
"86","S18",20180214,"evening","none",96,31.9,"New",22.2,3.5,1,0,0,0
"87","S18",20180214,"evening","long.argus",96,31.9,"New",22.2,3.5,1,2,2,0
"88","S18",20180214,"evening","short.argus",96,31.9,"New",22.2,3.5,1,1,1,0
"89","S19",20180214,"evening","none",96,31.9,"New",22.2,3.5,1,0,0,0
"90","S19",20180214,"evening","long.argus",96,31.9,"New",22.2,3.5,1,1,1,0
"91","S11",20180214,"evening","none",96,31.9,"New",22.2,3.5,1,0,0,0
"92","S12",20180214,"evening","none",96,31.9,"New",22.2,3.5,1,0,0,0
"93","S13",20180214,"evening","none",96,31.9,"New",22.2,3.5,1,0,0,0
"94","S20",20180214,"evening","none",96,31.9,"New",22.2,3.5,1,0,0,0
"95","S14",20180215,"madrugada","none",98,32,"New",22.8,0,3.5,0,0,0
"96","S14",20180215,"morning","none",98,32,"New",22.8,0,3.5,0,0,0
"97","S14",20180215,"morning","short.argus",98,32,"New",22.8,0,3.5,2,2,0
"98","S14",20180215,"afternoon","none",98,32,"New",22.8,0,3.5,0,0,0
"99","S14",20180215,"evening","none",98,32,"New",22.8,0,3.5,0,0,0
"100","S15",20180215,"madrugada","none",98,32,"New",22.8,0,3.5,0,0,0
"101","S15",20180215,"morning","none",98,32,"New",22.8,0,3.5,0,0,0
