"","recorder","call.type","date","humidity","temp","precip.day.of","tmin","precip.day.before","hours.sun","time","time.bin.id","index","n.calls","month","day"
"2849","S14","none","20180213",97,26.1,1,23.2,0,0,0,"madrugada","S14_20180213_madrugada",0,"02","13"
"3192","S15","none","20180213",97,26.1,1,23.2,0,0,0,"madrugada","S15_20180213_madrugada",0,"02","13"
"4028","S16","none","20180213",97,26.1,1,23.2,0,0,0,"madrugada","S16_20180213_madrugada",0,"02","13"
"4654","S17","long.argus","20180213",97,26.1,1,23.2,0,0,4,"madrugada","S17_20180213_madrugada",1,"02","13"
"4894","S17","none","20180213",97,26.1,1,23.2,0,0,0,"madrugada","S17_20180213_madrugada",0,"02","13"
"5985","S18","none","20180213",97,26.1,1,23.2,0,0,0,"madrugada","S18_20180213_madrugada",0,"02","13"
"6602","S19","none","20180213",97,26.1,1,23.2,0,0,0,"madrugada","S19_20180213_madrugada",0,"02","13"
"275","S11","short.argus","20180214",96,31.9,3.5,22.2,1,3.1,4,"madrugada","S11_20180214_madrugada",8,"02","14"
"640","S11","none","20180214",96,31.9,3.5,22.2,1,3.1,0,"madrugada","S11_20180214_madrugada",0,"02","14"
"1248","S12","long.argus","20180214",96,31.9,3.5,22.2,1,3.1,4,"madrugada","S12_20180214_madrugada",1,"02","14"
"1341","S12","none","20180214",96,31.9,3.5,22.2,1,3.1,0,"madrugada","S12_20180214_madrugada",0,"02","14"
"2095","S13","long.argus","20180214",96,31.9,3.5,22.2,1,3.1,4,"madrugada","S13_20180214_madrugada",2,"02","14"
"2143","S13","none","20180214",96,31.9,3.5,22.2,1,3.1,0,"madrugada","S13_20180214_madrugada",0,"02","14"
"2707","S14","short.argus","20180214",96,31.9,3.5,22.2,1,3.1,4,"madrugada","S14_20180214_madrugada",2,"02","14"
"2861","S14","none","20180214",96,31.9,3.5,22.2,1,3.1,0,"madrugada","S14_20180214_madrugada",0,"02","14"
"3204","S15","none","20180214",96,31.9,3.5,22.2,1,3.1,0,"madrugada","S15_20180214_madrugada",0,"02","14"
"4040","S16","none","20180214",96,31.9,3.5,22.2,1,3.1,0,"madrugada","S16_20180214_madrugada",0,"02","14"
"4658","S17","long.argus","20180214",96,31.9,3.5,22.2,1,3.1,4,"madrugada","S17_20180214_madrugada",3,"02","14"
"4904","S17","none","20180214",96,31.9,3.5,22.2,1,3.1,0,"madrugada","S17_20180214_madrugada",0,"02","14"
"5708","S18","long.argus","20180214",96,31.9,3.5,22.2,1,3.1,4,"madrugada","S18_20180214_madrugada",4,"02","14"
"5995","S18","none","20180214",96,31.9,3.5,22.2,1,3.1,0,"madrugada","S18_20180214_madrugada",0,"02","14"
"6456","S19","long.argus","20180214",96,31.9,3.5,22.2,1,3.1,4,"madrugada","S19_20180214_madrugada",1,"02","14"
"6614","S19","none","20180214",96,31.9,3.5,22.2,1,3.1,0,"madrugada","S19_20180214_madrugada",0,"02","14"
"7705","S20","long.argus","20180214",96,31.9,3.5,22.2,1,3.1,4,"madrugada","S20_20180214_madrugada",1,"02","14"
"7769","S20","none","20180214",96,31.9,3.5,22.2,1,3.1,0,"madrugada","S20_20180214_madrugada",0,"02","14"
"650","S11","none","20180215",98,32,0,22.8,3.5,8.4,0,"madrugada","S11_20180215_madrugada",0,"02","15"
"1351","S12","none","20180215",98,32,0,22.8,3.5,8.4,0,"madrugada","S12_20180215_madrugada",0,"02","15"
"2154","S13","none","20180215",98,32,0,22.8,3.5,8.4,0,"madrugada","S13_20180215_madrugada",0,"02","15"
"2871","S14","none","20180215",98,32,0,22.8,3.5,8.4,0,"madrugada","S14_20180215_madrugada",0,"02","15"
"3216","S15","none","20180215",98,32,0,22.8,3.5,8.4,0,"madrugada","S15_20180215_madrugada",0,"02","15"
"4052","S16","none","20180215",98,32,0,22.8,3.5,8.4,0,"madrugada","S16_20180215_madrugada",0,"02","15"
"4914","S17","none","20180215",98,32,0,22.8,3.5,8.4,0,"madrugada","S17_20180215_madrugada",0,"02","15"
"6005","S18","none","20180215",98,32,0,22.8,3.5,8.4,0,"madrugada","S18_20180215_madrugada",0,"02","15"
"6625","S19","none","20180215",98,32,0,22.8,3.5,8.4,0,"madrugada","S19_20180215_madrugada",0,"02","15"
"7780","S20","none","20180215",98,32,0,22.8,3.5,8.4,0,"madrugada","S20_20180215_madrugada",0,"02","15"
"282","S11","short.argus","20180216",97,32,28.2,22.8,0,3.3,3,"madrugada","S11_20180216_madrugada",16,"02","16"
"662","S11","none","20180216",97,32,28.2,22.8,0,3.3,0,"madrugada","S11_20180216_madrugada",0,"02","16"
"1251","S12","long.argus","20180216",97,32,28.2,22.8,0,3.3,3,"madrugada","S12_20180216_madrugada",2,"02","16"
"1363","S12","none","20180216",97,32,28.2,22.8,0,3.3,0,"madrugada","S12_20180216_madrugada",0,"02","16"
"2166","S13","none","20180216",97,32,28.2,22.8,0,3.3,0,"madrugada","S13_20180216_madrugada",0,"02","16"
"2713","S14","long.argus","20180216",97,32,28.2,22.8,0,3.3,3,"madrugada","S14_20180216_madrugada",1,"02","16"
"2714","S14","short.argus","20180216",97,32,28.2,22.8,0,3.3,3,"madrugada","S14_20180216_madrugada",1,"02","16"
"2882","S14","none","20180216",97,32,28.2,22.8,0,3.3,0,"madrugada","S14_20180216_madrugada",0,"02","16"
"3228","S15","none","20180216",97,32,28.2,22.8,0,3.3,0,"madrugada","S15_20180216_madrugada",0,"02","16"
"3958","S16","long.argus","20180216",97,32,28.2,22.8,0,3.3,3,"madrugada","S16_20180216_madrugada",1,"02","16"
"4064","S16","none","20180216",97,32,28.2,22.8,0,3.3,0,"madrugada","S16_20180216_madrugada",0,"02","16"
"4669","S17","long.argus","20180216",97,32,28.2,22.8,0,3.3,1,"madrugada","S17_20180216_madrugada",2,"02","16"
"4924","S17","none","20180216",97,32,28.2,22.8,0,3.3,0,"madrugada","S17_20180216_madrugada",0,"02","16"
"5719","S18","long.argus","20180216",97,32,28.2,22.8,0,3.3,3,"madrugada","S18_20180216_madrugada",4,"02","16"
"6016","S18","none","20180216",97,32,28.2,22.8,0,3.3,0,"madrugada","S18_20180216_madrugada",0,"02","16"
"6458","S19","long.argus","20180216",97,32,28.2,22.8,0,3.3,3,"madrugada","S19_20180216_madrugada",3,"02","16"
"6637","S19","none","20180216",97,32,28.2,22.8,0,3.3,0,"madrugada","S19_20180216_madrugada",0,"02","16"
"7792","S20","none","20180216",97,32,28.2,22.8,0,3.3,0,"madrugada","S20_20180216_madrugada",0,"02","16"
"673","S11","none","20180217",98,31.6,1.3,23.2,28.2,5.9,0,"madrugada","S11_20180217_madrugada",0,"02","17"
"1375","S12","none","20180217",98,31.6,1.3,23.2,28.2,5.9,0,"madrugada","S12_20180217_madrugada",0,"02","17"
"2178","S13","none","20180217",98,31.6,1.3,23.2,28.2,5.9,0,"madrugada","S13_20180217_madrugada",0,"02","17"
"2716","S14","long.argus","20180217",98,31.6,1.3,23.2,28.2,5.9,4,"madrugada","S14_20180217_madrugada",2,"02","17"
"2717","S14","short.argus","20180217",98,31.6,1.3,23.2,28.2,5.9,4,"madrugada","S14_20180217_madrugada",2,"02","17"
"2893","S14","none","20180217",98,31.6,1.3,23.2,28.2,5.9,0,"madrugada","S14_20180217_madrugada",0,"02","17"
"3240","S15","none","20180217",98,31.6,1.3,23.2,28.2,5.9,0,"madrugada","S15_20180217_madrugada",0,"02","17"
"4076","S16","none","20180217",98,31.6,1.3,23.2,28.2,5.9,0,"madrugada","S16_20180217_madrugada",0,"02","17"
"4936","S17","none","20180217",98,31.6,1.3,23.2,28.2,5.9,0,"madrugada","S17_20180217_madrugada",0,"02","17"
"5726","S18","long.argus","20180217",98,31.6,1.3,23.2,28.2,5.9,4,"madrugada","S18_20180217_madrugada",2,"02","17"
"6025","S18","none","20180217",98,31.6,1.3,23.2,28.2,5.9,0,"madrugada","S18_20180217_madrugada",0,"02","17"
"6460","S19","long.argus","20180217",98,31.6,1.3,23.2,28.2,5.9,4,"madrugada","S19_20180217_madrugada",1,"02","17"
"6649","S19","none","20180217",98,31.6,1.3,23.2,28.2,5.9,0,"madrugada","S19_20180217_madrugada",0,"02","17"
"7801","S20","none","20180217",98,31.6,1.3,23.2,28.2,5.9,0,"madrugada","S20_20180217_madrugada",0,"02","17"
"286","S11","long.argus","20180218",86,32.3,0,23.5,1.3,7.7,4,"madrugada","S11_20180218_madrugada",1,"02","18"
"684","S11","none","20180218",86,32.3,0,23.5,1.3,7.7,0,"madrugada","S11_20180218_madrugada",0,"02","18"
"1387","S12","none","20180218",86,32.3,0,23.5,1.3,7.7,0,"madrugada","S12_20180218_madrugada",0,"02","18"
"2190","S13","none","20180218",86,32.3,0,23.5,1.3,7.7,0,"madrugada","S13_20180218_madrugada",0,"02","18"
"2723","S14","long.argus","20180218",86,32.3,0,23.5,1.3,7.7,4,"madrugada","S14_20180218_madrugada",2,"02","18"
"2903","S14","none","20180218",86,32.3,0,23.5,1.3,7.7,0,"madrugada","S14_20180218_madrugada",0,"02","18"
"3252","S15","none","20180218",86,32.3,0,23.5,1.3,7.7,0,"madrugada","S15_20180218_madrugada",0,"02","18"
"4088","S16","none","20180218",86,32.3,0,23.5,1.3,7.7,0,"madrugada","S16_20180218_madrugada",0,"02","18"
"4945","S17","none","20180218",86,32.3,0,23.5,1.3,7.7,0,"madrugada","S17_20180218_madrugada",0,"02","18"
"5732","S18","long.argus","20180218",86,32.3,0,23.5,1.3,7.7,4,"madrugada","S18_20180218_madrugada",1,"02","18"
"6035","S18","none","20180218",86,32.3,0,23.5,1.3,7.7,0,"madrugada","S18_20180218_madrugada",0,"02","18"
"6660","S19","none","20180218",86,32.3,0,23.5,1.3,7.7,0,"madrugada","S19_20180218_madrugada",0,"02","18"
"7812","S20","none","20180218",86,32.3,0,23.5,1.3,7.7,0,"madrugada","S20_20180218_madrugada",0,"02","18"
"290","S11","long.argus","20180219",96,32.4,1.2,24.1,0,7.8,4,"madrugada","S11_20180219_madrugada",2,"02","19"
"694","S11","none","20180219",96,32.4,1.2,24.1,0,7.8,0,"madrugada","S11_20180219_madrugada",0,"02","19"
"1399","S12","none","20180219",96,32.4,1.2,24.1,0,7.8,0,"madrugada","S12_20180219_madrugada",0,"02","19"
"2202","S13","none","20180219",96,32.4,1.2,24.1,0,7.8,0,"madrugada","S13_20180219_madrugada",0,"02","19"
"2913","S14","none","20180219",96,32.4,1.2,24.1,0,7.8,0,"madrugada","S14_20180219_madrugada",0,"02","19"
"3264","S15","none","20180219",96,32.4,1.2,24.1,0,7.8,0,"madrugada","S15_20180219_madrugada",0,"02","19"
"4100","S16","none","20180219",96,32.4,1.2,24.1,0,7.8,0,"madrugada","S16_20180219_madrugada",0,"02","19"
"4680","S17","long.argus","20180219",96,32.4,1.2,24.1,0,7.8,4,"madrugada","S17_20180219_madrugada",3,"02","19"
"4956","S17","none","20180219",96,32.4,1.2,24.1,0,7.8,0,"madrugada","S17_20180219_madrugada",0,"02","19"
"6042","S18","none","20180219",96,32.4,1.2,24.1,0,7.8,0,"madrugada","S18_20180219_madrugada",0,"02","19"
"6672","S19","none","20180219",96,32.4,1.2,24.1,0,7.8,0,"madrugada","S19_20180219_madrugada",0,"02","19"
"7822","S20","none","20180219",96,32.4,1.2,24.1,0,7.8,0,"madrugada","S20_20180219_madrugada",0,"02","19"
"704","S11","none","20180220",95,31.1,0,23.8,1.2,1.9,0,"madrugada","S11_20180220_madrugada",0,"02","20"
"1411","S12","none","20180220",95,31.1,0,23.8,1.2,1.9,0,"madrugada","S12_20180220_madrugada",0,"02","20"
"2214","S13","none","20180220",95,31.1,0,23.8,1.2,1.9,0,"madrugada","S13_20180220_madrugada",0,"02","20"
"2924","S14","none","20180220",95,31.1,0,23.8,1.2,1.9,0,"madrugada","S14_20180220_madrugada",0,"02","20"
"3276","S15","none","20180220",95,31.1,0,23.8,1.2,1.9,0,"madrugada","S15_20180220_madrugada",0,"02","20"
"4111","S16","none","20180220",95,31.1,0,23.8,1.2,1.9,0,"madrugada","S16_20180220_madrugada",0,"02","20"
"4965","S17","none","20180220",95,31.1,0,23.8,1.2,1.9,0,"madrugada","S17_20180220_madrugada",0,"02","20"
"6052","S18","none","20180220",95,31.1,0,23.8,1.2,1.9,0,"madrugada","S18_20180220_madrugada",0,"02","20"
"6683","S19","none","20180220",95,31.1,0,23.8,1.2,1.9,0,"madrugada","S19_20180220_madrugada",0,"02","20"
"7833","S20","none","20180220",95,31.1,0,23.8,1.2,1.9,0,"madrugada","S20_20180220_madrugada",0,"02","20"
"715","S11","none","20180221",96,31.5,0.7,24.1,0,5.3,0,"madrugada","S11_20180221_madrugada",0,"02","21"
"1423","S12","none","20180221",96,31.5,0.7,24.1,0,5.3,0,"madrugada","S12_20180221_madrugada",0,"02","21"
"2226","S13","none","20180221",96,31.5,0.7,24.1,0,5.3,0,"madrugada","S13_20180221_madrugada",0,"02","21"
"2934","S14","none","20180221",96,31.5,0.7,24.1,0,5.3,0,"madrugada","S14_20180221_madrugada",0,"02","21"
"3288","S15","none","20180221",96,31.5,0.7,24.1,0,5.3,0,"madrugada","S15_20180221_madrugada",0,"02","21"
"4123","S16","none","20180221",96,31.5,0.7,24.1,0,5.3,0,"madrugada","S16_20180221_madrugada",0,"02","21"
"4975","S17","none","20180221",96,31.5,0.7,24.1,0,5.3,0,"madrugada","S17_20180221_madrugada",0,"02","21"
"5755","S18","long.argus","20180221",96,31.5,0.7,24.1,0,5.3,4,"madrugada","S18_20180221_madrugada",3,"02","21"
"5756","S18","short.argus","20180221",96,31.5,0.7,24.1,0,5.3,6,"madrugada","S18_20180221_madrugada",1,"02","21"
"6060","S18","none","20180221",96,31.5,0.7,24.1,0,5.3,0,"madrugada","S18_20180221_madrugada",0,"02","21"
"6467","S19","long.argus","20180221",96,31.5,0.7,24.1,0,5.3,4,"madrugada","S19_20180221_madrugada",1,"02","21"
"6694","S19","none","20180221",96,31.5,0.7,24.1,0,5.3,0,"madrugada","S19_20180221_madrugada",0,"02","21"
"7842","S20","none","20180221",96,31.5,0.7,24.1,0,5.3,0,"madrugada","S20_20180221_madrugada",0,"02","21"
"726","S11","none","20180222",97,30.4,0,23.8,0.7,2.3,0,"madrugada","S11_20180222_madrugada",0,"02","22"
"1435","S12","none","20180222",97,30.4,0,23.8,0.7,2.3,0,"madrugada","S12_20180222_madrugada",0,"02","22"
"2238","S13","none","20180222",97,30.4,0,23.8,0.7,2.3,0,"madrugada","S13_20180222_madrugada",0,"02","22"
"2945","S14","none","20180222",97,30.4,0,23.8,0.7,2.3,0,"madrugada","S14_20180222_madrugada",0,"02","22"
"3299","S15","none","20180222",97,30.4,0,23.8,0.7,2.3,0,"madrugada","S15_20180222_madrugada",0,"02","22"
"4135","S16","none","20180222",97,30.4,0,23.8,0.7,2.3,0,"madrugada","S16_20180222_madrugada",0,"02","22"
"4985","S17","none","20180222",97,30.4,0,23.8,0.7,2.3,0,"madrugada","S17_20180222_madrugada",0,"02","22"
"5765","S18","long.argus","20180222",97,30.4,0,23.8,0.7,2.3,4,"madrugada","S18_20180222_madrugada",3,"02","22"
"6068","S18","none","20180222",97,30.4,0,23.8,0.7,2.3,0,"madrugada","S18_20180222_madrugada",0,"02","22"
"6705","S19","none","20180222",97,30.4,0,23.8,0.7,2.3,0,"madrugada","S19_20180222_madrugada",0,"02","22"
"7852","S20","none","20180222",97,30.4,0,23.8,0.7,2.3,0,"madrugada","S20_20180222_madrugada",0,"02","22"
"738","S11","none","20180223",97,30.8,9.5,23.2,0,5.6,0,"madrugada","S11_20180223_madrugada",0,"02","23"
"1447","S12","none","20180223",97,30.8,9.5,23.2,0,5.6,0,"madrugada","S12_20180223_madrugada",0,"02","23"
"2249","S13","none","20180223",97,30.8,9.5,23.2,0,5.6,0,"madrugada","S13_20180223_madrugada",0,"02","23"
"2957","S14","none","20180223",97,30.8,9.5,23.2,0,5.6,0,"madrugada","S14_20180223_madrugada",0,"02","23"
"3311","S15","none","20180223",97,30.8,9.5,23.2,0,5.6,0,"madrugada","S15_20180223_madrugada",0,"02","23"
"4146","S16","none","20180223",97,30.8,9.5,23.2,0,5.6,0,"madrugada","S16_20180223_madrugada",0,"02","23"
